_id,titulo,año_salida,autor,id_imagen_portada,Género_musical,Duración,Número_Pista,Popularidad
69fba64e69c894b540f35b9c,Billie Jean,1982,Michael Jackson,michaeljacksonbilliejean.jpg,"Pop, R&B, Funk",00:04:54,6,La canción supera los 1.8 mil millones de reproducciones en Spotify y es uno de los mayores éxitos de Michael Jackson.
69fba67f69c894b540f35b9d,Beat it,1982,Michael Jackson,michaeljacksonbeatit.jpg,"Rock, Pop",00:04:18,5,La canción ha acumulado más de 1.3 mil millones de reproducciones en Spotify y es reconocida por su icónico solo de guitarra.
69fba6a369c894b540f35b9e,Thriller,1982,Michael Jackson,michaeljacksonthriller.jpg,"Rock, Pop",00:05:57,4,La canción supera los mil millones de reproducciones en Spotify y su videoclip es considerado uno de los más influyentes de la historia.
