_id,titulo,año_salida,autor,id_imagen_portada,Género_musical,Duración,Número_Pista,Popularidad
69fba5b969c894b540f35b98,ladygagapokerface,2008,Lady Gaga,ruta/imagen/portada.jpg,"Dance-pop, Electropop",00:03:57,2,La canción supera los 1.5 mil millones de reproducciones en Spotify y es uno de los mayores éxitos de Lady Gaga.
69fba60e69c894b540f35b99,LoveGame,2008,Lady Gaga,ladygagalovegame.jpg,,00:03:36,3,La canción fue un éxito internacional y forma parte de los temas más representativos del álbum debut de Lady Gaga.
69fba63069c894b540f35b9a,Paparazzi,2008,Lady Gaga,ladygagapaparazzi.jpg,"Dance-pop, Synth-pop",00:03:28,7,La canción ha acumulado más de mil millones de reproducciones en Spotify y es considerada uno de los clásicos de Lady Gaga.
