_id,titulo,año_salida,autor,id_imagen_portada,Género_musical,Duración,Número_Pista,Popularidad
69fba64e69c894b540f35b9c,Billie Jean,1982,Michael Jackson,michaeljacksonbilliejean.jpg,"Pop, R&B, Funk",00:04:54,6,La canción supera los 1.8 mil millones de reproducciones en Spotify y es uno de los mayores éxitos de Michael Jackson.
69fba6a369c894b540f35b9e,Thriller,1982,Michael Jackson,michaeljacksonthriller.jpg,"Rock, Pop",00:05:57,4,La canción supera los mil millones de reproducciones en Spotify y su videoclip es considerado uno de los más influyentes de la historia.
6a00f3bc97f06a32d7d45ddc,Baby Be Mine,1982,Michael Jackson,MichaelJacksonBabyBeMine.jpg,"R&B, Pop",00:04:20,2,La canción es una pista menos conocida del álbum Thriller pero muy valorada por los seguidores de Michael Jackson.
